,Player,Year,InjuryFactor,RushEfficiency,RecEfficiency,TotTD,PPR,NextPPR
1228,Dallas Goedert,2020,17.1875,0.0,370.83076923076925,3,116.4,165.0
1229,Dallas Goedert,2021,22.941176470588236,0.0,611.578947368421,4,165.0,141.2
1230,Dallas Goedert,2022,19.058823529411764,0.0,559.5652173913044,3,141.2,136.3
1231,Dallas Goedert,2023,23.058823529411764,1.0,420.8192771084337,3,136.3,
1232,Dalton Keene,2020,7.875,0.0,9.6,0,4.6,0.0
1233,Dalton Keene,2023,1.411764705882353,0.0,0.0,0,0.0,
1234,Dalton Kincaid,2023,22.58823529411765,0.0,539.8791208791209,2,150.3,
1235,Dalton Schultz,2018,15.125,0.0,81.88235294117646,0,23.6,1.6
1236,Dalton Schultz,2019,23.0,0.0,3.0,0,1.6,146.5
1237,Dalton Schultz,2020,24.0,0.0,435.3370786516854,4,146.5,208.8
1238,Dalton Schultz,2021,25.0,0.0,606.0,8,208.8,142.7
1239,Dalton Schultz,2022,22.941176470588236,0.0,369.53932584269666,5,142.7,150.5
1240,Dalton Schultz,2023,23.823529411764707,0.0,425.7386363636364,5,150.5,
1280,Dan Arnold,2020,25.0,0.0,301.73333333333335,4,96.8,75.8
1290,Daniel Bellinger,2022,15.529411764705882,2.0,229.71428571428572,3,75.0,50.5
1291,Daniel Bellinger,2023,23.0,0.0,227.67857142857142,0,50.5,
1298,Daniel Fells,2014,31.0,0.0,150.4,4,56.8,12.0
1299,Daniel Helm,2020,7.8125,0.0,0.0,0,0.0,0.9
1326,Dante Rosario,2013,27.1875,0.0,3.25,0,2.3,27.6
1348,Darnell Washington,2023,22.0,0.0,42.7,0,13.1,
1354,Darrell Daniels,2017,17.25,0.0,6.0,0,5.6,0.0
1355,Darrell Daniels,2018,16.5,0.0,0.0,0,0.0,1.4
1356,Darrell Daniels,2019,17.1875,0.0,1.3333333333333333,0,1.4,23.2
1357,Darrell Daniels,2020,19.5,0.0,66.9090909090909,1,23.2,1.0
1358,Darrell Daniels,2021,23.823529411764707,0.0,0.0,0,1.0,0.0
1359,Darrell Daniels,2023,5.117647058823529,0.0,0.0,0,0.0,
1365,Darren Fells,2014,17.5,0.0,29.583333333333332,0,12.1,70.1
1366,Darren Fells,2015,25.375,0.0,233.25,3,70.1,35.4
1367,Darren Fells,2016,26.25,0.0,119.77777777777777,1,35.4,52.7
1368,Darren Fells,2017,31.0,0.0,115.73076923076923,3,52.7,40.7
1369,Darren Fells,2018,32.0,0.0,107.25,3,40.7,110.1
1370,Darren Fells,2019,33.0,0.0,241.54166666666666,7,110.1,76.2
1371,Darren Fells,2020,34.0,0.0,234.0,4,76.2,8.3
1384,Darren Waller,2018,6.5,21.0,75.0,0,15.6,221.0
1385,Darren Waller,2019,27.0,2.5,880.7692307692307,3,221.0,278.6
